1000

x:             u:             v:
0.398        0.583725       0.5833324
0.399       0.5829119       0.5825184
0.4       0.5820971       0.5817025
0.401       0.5812804       0.5808848
0.402       0.5804618       0.5800653
0.403       0.5796415        0.579244
0.404       0.5788194       0.5784209
0.405       0.5779956        0.577596
0.406         0.57717       0.5767694
0.407       0.5763427       0.5759411
0.408       0.5755137       0.5751111
0.409       0.5746829       0.5742793
0.41       0.5738505       0.5734459
0.411       0.5730165       0.5726109
0.412       0.5721808       0.5717742
0.413       0.5713435       0.5709359
0.414       0.5705046       0.5700959
0.415       0.5696641       0.5692544
0.416        0.568822       0.5684113
0.417       0.5679783       0.5675667
0.418       0.5671331       0.5667205
0.419       0.5662864       0.5658727
0.42       0.5654382       0.5650235
0.421       0.5645884       0.5641727
0.422       0.5637372       0.5633205
0.423       0.5628845       0.5624668
0.424       0.5620303       0.5616117
0.425       0.5611747       0.5607551
0.426       0.5603177        0.559897
0.427       0.5594593       0.5590376
0.428       0.5585995       0.5581768
0.429       0.5577383       0.5573146
0.43       0.5568757        0.556451
0.431       0.5560117        0.555586
0.432       0.5551465       0.5547197
0.433       0.5542798       0.5538521
0.434       0.5534119       0.5529832
0.435       0.5525427       0.5521129
0.436       0.5516722       0.5512414
0.437       0.5508004       0.5503686
0.438       0.5499273       0.5494945
0.439        0.549053       0.5486192
0.44       0.5481774       0.5477426
0.441       0.5473006       0.5468648
0.442       0.5464226       0.5459858
0.443       0.5455434       0.5451056
0.444        0.544663       0.5442242
0.445       0.5437814       0.5433416
0.446       0.5428987       0.5424579
0.447       0.5420148        0.541573
0.448       0.5411297       0.5406869
0.449       0.5402436       0.5397997
0.45       0.5393563       0.5389114
0.451       0.5384679        0.538022
0.452       0.5375783       0.5371315
0.453       0.5366877       0.5362399
0.454       0.5357961       0.5353472
0.455       0.5349033       0.5344535
0.456       0.5340095       0.5335586
0.457       0.5331147       0.5326628
0.458       0.5322188       0.5317659
0.459       0.5313219        0.530868
0.46       0.5304239        0.529969
0.461        0.529525       0.5290691
0.462       0.5286251       0.5281682
0.463       0.5277242       0.5272663
0.464       0.5268223       0.5263634
0.465       0.5259194       0.5254595
0.466       0.5250156       0.5245547
0.467       0.5241109       0.5236489
0.468       0.5232052       0.5227422
0.469       0.5222986       0.5218346
0.47        0.521391       0.5209261
0.471       0.5204826       0.5200166
0.472       0.5195732       0.5191063
0.473        0.518663        0.518195
0.474       0.5177518       0.5172829
0.475       0.5168399       0.5163699
0.476        0.515927        0.515456
0.477       0.5150133       0.5145413
0.478       0.5140987       0.5136257
0.479       0.5131833       0.5127093
0.48       0.5122671        0.511792
0.481         0.51135        0.510874
0.482       0.5104321       0.5099551
0.483       0.5095134       0.5090354
