1000

x:             u:             v:
0.549       0.4468934       0.4468971
0.55       0.4459345       0.4459382
0.551       0.4449752       0.4449789
0.552       0.4440155       0.4440192
0.553       0.4430554       0.4430591
0.554       0.4420949       0.4420986
0.555       0.4411341       0.4411377
0.556       0.4401728       0.4401765
0.557       0.4392111       0.4392148
0.558       0.4382491       0.4382528
0.559       0.4372867       0.4372904
0.56       0.4363239       0.4363276
0.561       0.4353608       0.4353644
0.562       0.4343973       0.4344009
0.563       0.4334334        0.433437
0.564       0.4324691       0.4324727
0.565       0.4315045       0.4315081
0.566       0.4305396       0.4305432
0.567       0.4295743       0.4295779
0.568       0.4286087       0.4286122
0.569       0.4276427       0.4276462
0.57       0.4266764       0.4266799
0.571       0.4257097       0.4257133
0.572       0.4247427       0.4247463
0.573       0.4237754       0.4237789
0.574       0.4228078       0.4228113
0.575       0.4218398       0.4218433
0.576       0.4208715        0.420875
0.577       0.4199029       0.4199064
0.578        0.418934       0.4189375
0.579       0.4179648       0.4179683
0.58       0.4169953       0.4169988
0.581       0.4160255       0.4160289
0.582       0.4150554       0.4150588
0.583       0.4140849       0.4140884
0.584       0.4131142       0.4131177
0.585       0.4121432       0.4121467
0.586       0.4111719       0.4111754
0.587       0.4102004       0.4102038
0.588       0.4092285       0.4092319
0.589       0.4082564       0.4082598
0.59       0.4072839       0.4072873
0.591       0.4063113       0.4063146
0.592       0.4053383       0.4053417
0.593       0.4043651       0.4043684
0.594       0.4033916       0.4033949
0.595       0.4024178       0.4024212
0.596       0.4014438       0.4014471
0.597       0.4004695       0.4004729
0.598        0.399495       0.3994983
0.599       0.3985202       0.3985235
0.6       0.3975452       0.3975485
0.601       0.3965699       0.3965732
0.602       0.3955944       0.3955977
0.603       0.3946186       0.3946219
0.604       0.3936426       0.3936459
0.605       0.3926663       0.3926696
0.606       0.3916898       0.3916931
0.607       0.3907131       0.3907164
0.608       0.3897362       0.3897394
0.609        0.388759       0.3887622
0.61       0.3877816       0.3877848
0.611        0.386804       0.3868072
0.612       0.3858261       0.3858293
0.613        0.384848       0.3848512
0.614       0.3838698        0.383873
0.615       0.3828912       0.3828944
0.616       0.3819125       0.3819157
